name,expr,sense,rhs
# CONTRAINTES MULTI-SITES INDUSTRIELLES

# Capacités production par site (milliers d'heures/semaine)
# Site France (2 lignes production, 168h/semaine chacune)
cap_prod_FR_w1,4*prod_desk_FR_w1 + 2*prod_chair_FR_w1 + 6*prod_cabinet_FR_w1,<=,336000
cap_prod_FR_w2,4*prod_desk_FR_w2 + 2*prod_chair_FR_w2 + 6*prod_cabinet_FR_w2,<=,336000
cap_prod_FR_w3,4*prod_desk_FR_w3 + 2*prod_chair_FR_w3 + 6*prod_cabinet_FR_w3,<=,336000
cap_prod_FR_w4,4*prod_desk_FR_w4 + 2*prod_chair_FR_w4 + 6*prod_cabinet_FR_w4,<=,336000

# Site Allemagne (3 lignes production, 168h/semaine chacune)
cap_prod_DE_w1,4*prod_desk_DE_w1 + 2*prod_chair_DE_w1 + 6*prod_cabinet_DE_w1,<=,504000
cap_prod_DE_w2,4*prod_desk_DE_w2 + 2*prod_chair_DE_w2 + 6*prod_cabinet_DE_w2,<=,504000
cap_prod_DE_w3,4*prod_desk_DE_w3 + 2*prod_chair_DE_w3 + 6*prod_cabinet_DE_w3,<=,504000
cap_prod_DE_w4,4*prod_desk_DE_w4 + 2*prod_chair_DE_w4 + 6*prod_cabinet_DE_w4,<=,504000

# Site Pologne (5 lignes production, 168h/semaine chacune)  
cap_prod_PL_w1,4*prod_desk_PL_w1 + 2*prod_chair_PL_w1 + 6*prod_cabinet_PL_w1,<=,840000
cap_prod_PL_w2,4*prod_desk_PL_w2 + 2*prod_chair_PL_w2 + 6*prod_cabinet_PL_w2,<=,840000
cap_prod_PL_w3,4*prod_desk_PL_w3 + 2*prod_chair_PL_w3 + 6*prod_cabinet_PL_w3,<=,840000
cap_prod_PL_w4,4*prod_desk_PL_w4 + 2*prod_chair_PL_w4 + 6*prod_cabinet_PL_w4,<=,840000

# Contraintes de demande globale (milliers d'unités/mois)
demand_desk_total,1*prod_desk_FR_w1 + 1*prod_desk_FR_w2 + 1*prod_desk_FR_w3 + 1*prod_desk_FR_w4 + 1*prod_desk_DE_w1 + 1*prod_desk_DE_w2 + 1*prod_desk_DE_w3 + 1*prod_desk_DE_w4 + 1*prod_desk_PL_w1 + 1*prod_desk_PL_w2 + 1*prod_desk_PL_w3 + 1*prod_desk_PL_w4,>=,8000
