name,expr,sense,rhs
# Capacités hebdo — menuiserie (avec OT menuiserie)
cap_carp_w1,3*pro# Budget carbone total (plus restrictif)
carbon_total,1*prod_CH_w1 + 1*prod_CH_w2 + 1*prod_CH_w3 + 1*prod_CH_w4 + 2*prod_TA_w1 + 2*prod_TA_w2 + 2*prod_TA_w3 + 2*prod_TA_w4 + 3*prod_DE_w1 + 3*prod_DE_w2 + 3*prod_DE_w3 + 3*prod_DE_w4,<=,400

# Quota minimal de bureaux sur l'horizon  
service_DE_min,prod_DE_w1 + prod_DE_w2 + prod_DE_w3 + prod_DE_w4,>=,30

# Contrainte de diversification produit (au moins 20% de chaque type par semaine)
diversif_CH_w1,prod_CH_w1,>=,0.2*(prod_CH_w1 + prod_TA_w1 + prod_DE_w1)
diversif_TA_w1,prod_TA_w1,>=,0.2*(prod_CH_w1 + prod_TA_w1 + prod_DE_w1)
diversif_DE_w1,prod_DE_w1,>=,0.2*(prod_CH_w1 + prod_TA_w1 + prod_DE_w1)
diversif_CH_w2,prod_CH_w2,>=,0.2*(prod_CH_w2 + prod_TA_w2 + prod_DE_w2)
diversif_TA_w2,prod_TA_w2,>=,0.2*(prod_CH_w2 + prod_TA_w2 + prod_DE_w2)
diversif_DE_w2,prod_DE_w2,>=,0.2*(prod_CH_w2 + prod_TA_w2 + prod_DE_w2)

# Contrainte de liquidité (coût de stockage limité)  
cash_flow_limit,15*inv_CH_w1 + 15*inv_CH_w2 + 15*inv_CH_w3 + 15*inv_CH_w4 + 25*inv_TA_w1 + 25*inv_TA_w2 + 25*inv_TA_w3 + 25*inv_TA_w4 + 35*inv_DE_w1 + 35*inv_DE_w2 + 35*inv_DE_w3 + 35*inv_DE_w4,<=,1500

# Contrainte de qualité premium (équilibre productif)
quality_balance,prod_CH_w1 + prod_CH_w2 + prod_CH_w3 + prod_CH_w4 - 0.8*(prod_TA_w1 + prod_TA_w2 + prod_TA_w3 + prod_TA_w4 + prod_DE_w1 + prod_DE_w2 + prod_DE_w3 + prod_DE_w4),<=,50w1 + 5*prod_TA_w1 + 8*prod_DE_w1 -1*ot_carp_w1,<=,240
