name,low,up,type
prod_CH_w1,0,,integer
prod_CH_w2,0,,integer
prod_CH_w3,0,,integer
prod_CH_w4,0,,integer
prod_TA_w1,0,,integer
prod_TA_w2,0,,integer
prod_TA_w3,0,,integer
prod_TA_w4,0,,integer
prod_DE_w1,0,,integer
prod_DE_w2,0,,integer
prod_DE_w3,0,,integer
prod_DE_w4,0,,integer
inv_CH_w1,0,,integer
inv_CH_w2,0,,integer
inv_CH_w3,0,,integer
inv_CH_w4,0,,integer
inv_TA_w1,0,,integer
inv_TA_w2,0,,integer
inv_TA_w3,0,,integer
inv_TA_w4,0,,integer
inv_DE_w1,0,,integer
inv_DE_w2,0,,integer
inv_DE_w3,0,,integer
inv_DE_w4,0,,integer
back_CH_w1,0,,integer
back_CH_w2,0,,integer
back_CH_w3,0,,integer
back_CH_w4,0,,integer
back_TA_w1,0,,integer
back_TA_w2,0,,integer
back_TA_w3,0,,integer
back_TA_w4,0,,integer
back_DE_w1,0,,integer
back_DE_w2,0,,integer
back_DE_w3,0,,integer
back_DE_w4,0,,integer
setup_CH_w1,0,1,binary
setup_CH_w2,0,1,binary
setup_CH_w3,0,1,binary
setup_CH_w4,0,1,binary
setup_TA_w1,0,1,binary
setup_TA_w2,0,1,binary
setup_TA_w3,0,1,binary
setup_TA_w4,0,1,binary
setup_DE_w1,0,1,binary
setup_DE_w2,0,1,binary
setup_DE_w3,0,1,binary
setup_DE_w4,0,1,binary
overtime_w1,0,,integer
overtime_w2,0,,integer
overtime_w3,0,,integer
overtime_w4,0,,integer
ot_carp_w1,0,,integer
ot_carp_w2,0,,integer
ot_carp_w3,0,,integer
ot_carp_w4,0,,integer
