name,expr,sense,rhs
fully_invested,w_AAPL + w_MSFT + w_GOOGL + w_AMZN + w_TSLA + w_NVDA + w_META + w_NFLX + w_JPM + w_BAC + w_GS + w_MS + w_JNJ + w_PFE + w_UNH + w_PG,==,1.0
tech_concentration,w_AAPL + w_MSFT + w_GOOGL + w_AMZN + w_TSLA + w_NVDA + w_META + w_NFLX,<=,0.65
financials_concentration,w_JPM + w_BAC + w_GS + w_MS,<=,0.35
healthcare_concentration,w_JNJ + w_PFE + w_UNH,<=,0.25
consumer_defensive,w_PG,<=,0.08
high_beta_limit,w_TSLA + w_NVDA + w_META,<=,0.25
low_beta_minimum,w_JNJ + w_PFE + w_PG,>=,0.15
illiquid_limit,w_TSLA + w_NFLX,<=,0.15
mega_cap_minimum,w_AAPL + w_MSFT + w_GOOGL + w_AMZN,>=,0.40
max_single_position,w_AAPL,<=,0.15
max_single_position_msft,w_MSFT,<=,0.15
max_single_position_googl,w_GOOGL,<=,0.12
max_single_position_amzn,w_AMZN,<=,0.12
max_single_position_tsla,w_TSLA,<=,0.08
max_single_position_nvda,w_NVDA,<=,0.10
max_single_position_meta,w_META,<=,0.08
max_single_position_nflx,w_NFLX,<=,0.05
max_single_position_jpm,w_JPM,<=,0.10
max_single_position_bac,w_BAC,<=,0.08
max_single_position_gs,w_GS,<=,0.06
max_single_position_ms,w_MS,<=,0.06
max_single_position_jnj,w_JNJ,<=,0.08
max_single_position_pfe,w_PFE,<=,0.06
max_single_position_unh,w_UNH,<=,0.10
max_single_position_pg,w_PG,<=,0.06
min_position_aapl,w_AAPL,>=,0.02
min_position_msft,w_MSFT,>=,0.02
min_position_googl,w_GOOGL,>=,0.01
min_position_amzn,w_AMZN,>=,0.01
esg_compliant_tech,w_AAPL + w_MSFT + w_GOOGL,>=,0.20
ucits_issuer_limit_tech,w_AAPL + w_MSFT + w_GOOGL + w_AMZN,<=,0.40
momentum_factor,w_AAPL + w_NVDA + w_TSLA,<=,0.20
value_factor,w_JPM + w_BAC + w_PFE + w_PG,>=,0.25
quality_factor,w_MSFT + w_GOOGL + w_JNJ + w_UNH,>=,0.20
growth_vs_value,w_AAPL + w_MSFT + w_GOOGL + w_AMZN + w_TSLA + w_NVDA + w_META + w_NFLX,<=,0.60
defensive_allocation,w_JNJ + w_PFE + w_UNH + w_PG,>=,0.20
uncorrelated_assets,w_NFLX + w_PG + w_UNH,>=,0.15
correlated_tech_limit,w_AAPL + w_MSFT + w_GOOGL,<=,0.35
high_vol_limit,w_TSLA + w_NVDA + w_META + w_NFLX,<=,0.30
low_vol_core,w_JNJ + w_PFE + w_UNH + w_PG + w_JPM,>=,0.35
